,state_mw,incar_rate_scaled,viol_crime_scaled,clusters,cluster
179,5.15,0.2928556641563773,0.3562741447240114,2,dark purple
180,5.15,0.3364676842465997,0.6873861886560917,2,dark purple
181,5.15,0.3320621559396386,0.4404086619615555,2,dark purple
182,5.15,0.4161832854151726,0.4477974958717823,2,dark purple
183,5.15,0.17758695175871253,0.08769338019192219,2,dark purple
184,2.8,0.3855847055092454,0.3387468634173274,1,purple
185,2.0,0.641995295882225,0.5004901438951492,1,purple
186,7.05,0.35228964406996965,0.2986053004860878,0,pink
187,5.15,0.3268070053309202,0.4114576615393162,2,dark purple
188,6.75,0.2934487536549568,0.24751925375312567,0,pink
189,0.0,0.5395565181970596,0.7899202406406403,1,purple
190,5.15,0.39617400616407394,0.17116066301241517,2,dark purple
191,0.0,0.3280166769400239,0.6976229604333639,1,purple
192,5.15,0.6972461473196745,0.5409240256994963,2,dark purple
193,5.15,0.19498427864164114,0.2332788659259677,2,dark purple
194,6.75,0.31678935047239065,0.11477174703031778,0,pink
195,5.15,0.41532712057232857,0.27545897755771875,2,dark purple
196,7.16,0.26587527245283127,0.3436417318880558,0,pink
197,5.15,0.2201321069151163,0.2819235669448972,2,dark purple
198,5.15,0.40250509046018124,0.20982883870601654,2,dark purple
199,5.15,0.34889213275164366,0.22989322897046804,2,dark purple
200,0.0,0.5345921497792006,0.43264259584248066,1,purple
201,7.15,0.7234042044728994,0.6323378998786211,0,pink
202,0.0,0.5601370707154274,0.5119765643030405,1,purple
203,5.15,0.4487143363803625,0.5285138264298439,2,dark purple
204,6.75,0.46477378346025944,0.5260198842734098,0,pink
205,5.15,0.4516763146966696,0.39667231030762196,2,dark purple
206,7.1,0.5121259950101376,0.27257397305220366,0,pink
207,6.15,0.8064238354563713,0.6334490142762661,2,dark purple
208,0.0,0.48715705052018166,0.7088903803378344,1,purple
209,5.15,0.5337937735021114,0.4459322430193424,2,dark purple
210,6.25,0.4507264122366905,0.25548231787979603,2,dark purple
211,5.15,0.4371865186840296,0.25675701908767223,2,dark purple
212,6.5,0.35188011825084686,0.5522415973246098,0,pink
213,5.15,0.36322902888059616,0.324001582339406,2,dark purple
214,5.15,0.29461910016834736,0.29327026568353176,2,dark purple
215,2.65,0.3307653125375509,0.38938610814511776,1,purple
216,5.15,0.35718667786568403,0.26683551259338856,2,dark purple
217,0.0,0.42976653203368187,0.5965614691376686,1,purple
218,6.35,0.14944394351914525,0.11250019306316972,2,dark purple
219,5.15,0.40348153561353683,0.7043260149657726,2,dark purple
220,6.75,0.16084889648482203,0.460785161703825,0,pink
221,5.15,0.4899892956018448,0.553776090964675,2,dark purple
222,4.9,0.17004961846396327,0.29732349794358015,2,dark purple
223,0.0,0.5531725008040667,0.27956028934568167,1,purple
224,5.15,0.524604320526123,0.5256737116724253,2,dark purple
225,4.0,0.3019031137228012,0.281790504232049,2,dark purple
226,5.15,0.25054558645933867,0.287345377728343,2,dark purple
227,5.15,0.4834388382732868,0.6074698176234961,2,dark purple
228,5.15,0.1854120520874858,0.13475469313561916,2,dark purple
229,5.15,0.2943646861240268,0.35526216961443424,2,dark purple
