,Year,State,state_mw,state_mw_2020,fed_mw,fed_mw_2020,effective_mw,effective_mw_2020,prisoner_count,state_population,violent_crime,murder,robbery,burglary,incarceration_rate,rate_rank,avg_rate_of_year,viol_crime_rate
124,2003,Missouri,5.15,7.24,5.15,7.24,5.15,7.24,29864.0,5719204.0,28067.0,289.0,6686.0,41997.0,0.005221706,High,0.0039382335,0.004907501
125,2003,Montana,4.0,5.62,5.15,7.24,5.15,7.24,3053.0,918157.0,3351.0,30.0,298.0,3722.0,0.0033251394,Medium,0.0039382335,0.0036497025
126,2003,Nebraska,5.15,7.24,5.15,7.24,5.15,7.24,4073.0,1737475.0,5105.0,56.0,1165.0,10133.0,0.0023442064,Low,0.0039382335,0.0029381718
127,2003,Nevada,5.15,7.24,5.15,7.24,5.15,7.24,10584.0,2242207.0,13813.0,197.0,5225.0,21958.0,0.0047203493,Medium,0.0039382335,0.0061604483
128,2003,New Hampshire,5.15,7.24,5.15,7.24,5.15,7.24,2427.0,1288705.0,1937.0,17.0,480.0,4589.0,0.0018832859,Low,0.0039382335,0.0015030593
129,2003,New Jersey,5.15,7.24,5.15,7.24,5.15,7.24,25718.0,8642412.0,31488.0,406.0,13342.0,43457.0,0.0029757896,Low,0.0039382335,0.0036434273
130,2003,New Mexico,4.25,5.97,5.15,7.24,5.15,7.24,6223.0,1878562.0,12535.0,116.0,1937.0,18997.0,0.0033126401,Medium,0.0039382335,0.006672657
131,2003,New York,5.15,7.24,5.15,7.24,5.15,7.24,65388.0,19212424.0,89486.0,934.0,35790.0,75453.0,0.0034034227,Medium,0.0039382335,0.004657715
132,2003,North Carolina,5.15,7.24,5.15,7.24,5.15,7.24,33874.0,8421190.0,38243.0,506.0,12229.0,100687.0,0.004022472,Medium,0.0039382335,0.004541282
133,2003,North Dakota,5.15,7.24,5.15,7.24,5.15,7.24,1100.0,633400.0,508.0,9.0,53.0,1959.0,0.0017366593,Low,0.0039382335,0.00080202083
134,2003,Ohio,2.8,3.94,5.15,7.24,5.15,7.24,44350.0,11437680.0,38185.0,526.0,16895.0,95083.0,0.0038775345,Medium,0.0039382335,0.0033385267
